12,11,10,9,8,7,6,5,4,3,2,1
1800,1730,1750,1590,1430,1390,1120,1270,910,1040,800,1170
1790,1720,1740,1570,1410,1360,1140,1260,920,1050,790,1180
1780,1720,1720,1600,1440,1370,1180,1270,890,1010,770,1120
1790,1700,1730,1610,1470,1410,1230,1270,890,1030,760,1120
1790,1690,1720,1620,1540,1420,1250,1270,910,1030,750,1110
1760,1680,1710,1620,1600,1430,1290,1260,940,1010,740,1100
1770,1690,1720,1630,1620,1460,1290,1270,950,1030,730,1110
1780,1690,1710,1630,1670,1500,1370,1270,980,1040,730,1150
1800,1700,1720,1650,1680,1540,1320,1280,1010,1040,740,1150
1790,1720,1730,1660,1680,1530,1310,1280,990,1030,740,1130
1800,1770,1740,1660,1690,1550,1360,1290,1030,1050,800,1130
1820,1770,1730,1670,1690,1550,1380,1270,1040,1010,830,1060
1630,1570,1570,1480,1510,1340,1300,1260,1060,1000,850,1010
1620,1580,1560,1490,1520,1310,1280,1130,980,870,830,860
1630,1570,1580,1520,1490,1340,1270,1100,990,860,820,800
1620,1580,1570,1540,1490,1370,1280,1050,990,840,840,770
1610,1580,1570,1530,1490,1410,1280,1060,1020,850,850,760
1620,1580,1590,1530,1490,1470,1270,1040,990,810,850,760
1640,1580,1570,1550,1500,1440,1300,1000,1040,800,860,800
1630,1610,1560,1550,1510,1370,1290,1020,1050,760,890,820
1640,1600,1570,1560,1480,1320,1280,1000,1040,750,900,820
1650,1610,1570,1550,1460,1290,1280,990,1040,730,870,810
1650,1620,1580,1550,1420,1260,1270,940,1020,720,860,780
1670,1620,1620,1550,1420,1260,1310,920,1000,720,880,800
1600,1550,1550,1710,1440,1260,1240,910,980,720,830,720
1590,1560,1530,1510,1390,1150,1140,870,920,700,800,700
1590,1550,1550,1510,1340,1110,1090,850,880,660,760,660
1580,1540,1530,1500,1360,1100,1050,850,840,670,750,640
1580,1560,1530,1480,1350,1090,1040,860,850,690,720,620
1590,1550,1540,1440,1370,1080,1010,860,840,700,710,610
1580,1570,1540,1430,1280,1110,1000,880,810,730,680,610
1590,1570,1540,1420,1230,1160,950,900,770,750,620,650
1580,1580,1550,1420,1200,1190,930,920,740,780,620,690
1580,1570,1550,1440,1190,1220,920,940,720,800,630,720
1590,1580,1530,1420,1190,1230,900,960,690,830,640,750
1590,1590,1530,1390,1230,1260,900,990,710,830,650,780
1770,1610,1470,1390,1190,1270,880,1020,720,850,660,830
1580,1560,1450,1370,1160,1230,930,1030,730,860,680,850
1570,1560,1470,1370,1160,1240,960,1070,760,880,680,870
1580,1580,1520,1380,1170,1240,960,1110,800,910,730,970
1580,1590,1550,1420,1240,1270,1000,1150,800,930,700,1010
